adduser	3.137ubuntu1
libxml-twig-perl	1:3.52-2
libxml-writer-perl	0.900-2
libxml-xpathengine-perl	0.14-2
libxml2	2.9.14+dfsg-1.3ubuntu3.8
libxml2-dev	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2	0.3.24-1~ubuntu0.24.04.1
libxmu6	2:1.1.3-3build2
libxmuu1	2:1.1.3-3build2
libxnvctrl0	510.47.03-0ubuntu4.24.04.1
libxpm4	1:3.5.17-1ubuntu0.24.04.1
libxrandr2	2:1.5.2-2build1
libxrender1	1:0.9.10-1.1build1
libxshmfence1	1.3-1build5
libxslt1.1	1.1.39-0exp1ubuntu0.24.04.3
libxss1	1:1.2.3-1build3
libxstring-perl	0.005-2build3
libxt6t64	1:1.2.1-1.2build1
libxtables12	1.8.10-3ubuntu2
libxtst6	2:1.2.3-1.1build1
libxv1	2:1.0.11-1.1build1
libxxf86dga1	2:1.1.5-1build1
libxxf86vm1	1:1.1.4-1build4
libxxhash0	0.8.2-2build1
libyaml-0-2	0.2.5-1build1
libyaml-tiny-perl	1.74-1
libzeitgeist-2.0-0	1.0.4-5ubuntu5
libzip4t64	1.7.3-1.1ubuntu2
libzstd-dev	1.5.5+dfsg2-2build1.1
libzstd1	1.5.5+dfsg2-2build1.1
libzzip-0-13t64	0.13.72+dfsg.1-1.2build1
linux-libc-dev	6.8.0-139.139
littler	0.3.23-1.2404.0
lmodern	2.005-1
locales	2.39-0ubuntu8.9
locales-all	2.39-0ubuntu8.9
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lto-disabled-list	47
m4	1.4.19-4build1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mesa-libgallium	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers	25.2.8-0ubuntu0.24.04.2
motd-news-config	13ubuntu10.4
mount	2.39.3-9ubuntu6.6
mpi-default-bin	1.15build1
mpi-default-dev	1.15build1
mupdf-tools	1.23.10+ds1-1build3
mysql-common	5.8+1.1.0build1
nano	7.2-2ubuntu0.2
ncurses-base	6.4+20240113-1ubuntu2.2
ncurses-bin	6.4+20240113-1ubuntu2.2
net-tools	2.10-0.1ubuntu4.4
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
networkd-dispatcher	2.2.4-1
ninja-build	1.11.1-2
nlohmann-json3-dev	3.11.3-1
node-acorn	8.8.1+ds+~cs25.17.7-2
node-busboy	1.6.0+~cs2.6.0-2
node-cjs-module-lexer	1.2.3+dfsg-1
node-jquery	3.6.1+dfsg+~3.5.14-1
node-undici	5.26.3+dfsg1+~cs23.10.12-2
node-xtend	4.0.2-3
nodejs	18.19.1+dfsg-6ubuntu5
nodejs-doc	18.19.1+dfsg-6ubuntu5
ocl-icd-libopencl1	2.3.2-1build1
ocl-icd-opencl-dev	2.3.2-1build1
octave	8.4.0-1build5
octave-common	8.4.0-1build5
octave-doc	8.4.0-1build5
octave-statistics	1.6.3-1ubuntu2
octave-statistics-common	1.6.3-1ubuntu2
opencl-c-headers	3.0~2023.12.14-1
opencl-clhpp-headers	3.0~2023.12.14-1ubuntu1
opencl-headers	3.0~2023.12.14-1
openjdk-21-jdk-headless	21.0.12+8-1~24.04
openjdk-21-jre	21.0.12+8-1~24.04
openjdk-21-jre-headless	21.0.12+8-1~24.04
openmpi-bin	4.1.6-7ubuntu2
openmpi-common	4.1.6-7ubuntu2
openssh-client	1:9.6p1-3ubuntu13.19
openssl	3.0.13-0ubuntu3.15
packagekit	1.2.8-2ubuntu1.5
packagekit-tools	1.2.8-2ubuntu1.5
packages-microsoft-prod	1.2-ubuntu24.04
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
perl	5.38.2-3.2ubuntu0.4
perl-base	5.38.2-3.2ubuntu0.4
perl-modules-5.38	5.38.2-3.2ubuntu0.4
perl-openssl-defaults	7build3
pfb2t1c2pfb	0.3-11build1
pinentry-curses	1.2.1-3ubuntu5
pkg-config	1.8.1-2build1
pkgconf	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
polkitd	124-2ubuntu1.24.04.3
poppler-data	0.4.12-1
poppler-utils	24.02.0-1ubuntu9.9
powershell	7.6.5-1.deb
preview-latex-style	13.2-1
procps	2:4.0.4-4ubuntu3.3
proj-bin	9.4.0-1build2
proj-data	9.4.0-1build2
protobuf-compiler	3.21.12-8.2ubuntu0.3
psmisc	23.7-1build1
pstoedit	4.00-1.1build2
publicsuffix	20231001.0357-0.1
pybind11-dev	2.11.1-2
python-apt-common	2.7.7ubuntu5.2
python-babel-localedata	2.10.3-3build1
python3	3.12.3-0ubuntu2.1
python3-apport	2.28.3-0ubuntu0.1
python3-apt	2.7.7ubuntu5.2
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-certifi	2023.11.17-1
python3-cffi-backend	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-cryptography	41.0.7-4ubuntu0.4
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-dev	3.12.3-0ubuntu2.1
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.29
python3-gdbm	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-hamcrest	2.1.0-1
python3-httplib2	0.20.4-3ubuntu0.1
python3-hyperlink	21.0.0-5
python3-idna	3.6-2ubuntu0.2
python3-incremental	22.10.0-1
python3-jinja2	3.1.2-1ubuntu1.3
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1ubuntu0.1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-netifaces	0.11.0-2build3
python3-netplan	1.1.2-8ubuntu1~24.04.2
python3-newt	0.52.24-2ubuntu2
python3-oauthlib	3.2.2-1
python3-openssl	23.2.0-1ubuntu0.1
python3-packaging	24.0-1
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-problem-report	2.28.3-0ubuntu0.1
python3-pyasn1	0.4.8-4ubuntu0.3
python3-pyasn1-modules	0.2.8-1
python3-pycurl	7.45.3-1build2
python3-pygments	2.17.2+dfsg-1
python3-pyparsing	3.1.1-1
python3-pyrsistent	0.20.0-1build2
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-serial	3.5-2
python3-service-identity	24.1.0-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-software-properties	0.99.49.4
python3-systemd	235-1build4
python3-twisted	24.3.0-1ubuntu0.2
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-update-manager	1:24.04.12
python3-urllib3	2.0.7-1ubuntu0.7
python3-venv	3.12.3-0ubuntu2.1
python3-wadllib	1.3.6-5
python3-wheel	0.42.0-2
python3-yaml	6.0.1-2build2
python3-zope.interface	6.1-1build1
python3.12	3.12.3-1ubuntu0.17
python3.12-dev	3.12.3-1ubuntu0.17
python3.12-minimal	3.12.3-1ubuntu0.17
python3.12-venv	3.12.3-1ubuntu0.17
qt5-gtk-platformtheme	5.15.13+dfsg-1ubuntu1
qttranslations5-l10n	5.15.13-1
qtwayland5	5.15.13-1
r-base	4.6.1-6.2404.0
r-base-core	4.6.1-6.2404.0
r-base-dev	4.6.1-6.2404.0
r-base-html	4.6.1-6.2404.0
r-cran-boot	1.3-32-1.2404.0
r-cran-class	7.3-24-1.2404.0
r-cran-cluster	2.1.8.2-1.2404.0
r-cran-codetools	0.2-20-1.2404.0
r-cran-foreign	0.8.91-1.2404.0
r-cran-kernsmooth	2.23-27-1.2404.0
r-cran-lattice	0.23-1-1.2404.0
r-cran-littler	0.3.23-1.2404.0
r-cran-mass	7.3-66-1.2404.0
r-cran-matrix	1.7-6-1.2404.0
r-cran-mgcv	1.9-4-1.2404.0
r-cran-nlme	3.1.171-1.2404.0
r-cran-nnet	7.3-21-1.2404.0
r-cran-rpart	4.1.27-1.2404.0
r-cran-spatial	7.3-17-1.2404.0
r-cran-survival	3.8-11-1.2404.0
r-doc-html	4.6.1-6.2404.0
r-recommended	4.6.1-6.2404.0
rake	13.0.6-3
rclone	1.60.1+dfsg-3ubuntu0.24.04.6
readline-common	8.2-4build1
ripgrep	14.1.0-1
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
rsyslog	8.2312.0-3ubuntu9.3
ruby	1:3.2~ubuntu1
ruby-net-telnet	0.2.0-1
ruby-rubygems	3.4.20-1
ruby-sdbm	1.0.0-5build4
ruby-webrick	1.8.1-1ubuntu0.2
ruby-xmlrpc	0.3.2-2
ruby3.2	3.2.3-1ubuntu0.24.04.8
rubygems-integration	1.18
run-one	1.17-0ubuntu2
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
session-migration	0.3.9build1
sgml-base	1.31
shared-mime-info	2.4-4
show-motd	3.12
snapd	2.76.3+ubuntu24.04
software-properties-common	0.99.49.4
squashfs-tools	1:4.6.1-1build1
sudo	1.9.15p5-3ubuntu5.24.04.2
synapse	0.2.99.4-4build2
systemd	255.4-1ubuntu8.17
systemd-dev	255.4-1ubuntu8.17
systemd-hwe-hwdb	255.1.7
systemd-resolved	255.4-1ubuntu8.17
systemd-sysv	255.4-1ubuntu8.17
systemd-timesyncd	255.4-1ubuntu8.17
sysvinit-utils	3.08-6ubuntu3
t1utils	1.41-4build3
tar	1.35+dfsg-3ubuntu0.4
tcl	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
teckit	2.5.12+ds1-1
tex-common	6.18
tex-gyre	20180621-6
texinfo	7.1-3build2
texinfo-lib	7.1-3build2
texlive-base	2023.20240207-1
texlive-bibtex-extra	2023.20240207-1
texlive-binaries	2023.20230311.66589-9build3
texlive-extra-utils	2023.20240207-1
texlive-fonts-extra	2023.20240207-1
texlive-fonts-extra-links	2023.20240207-1
texlive-fonts-recommended	2023.20240207-1
texlive-lang-greek	2023.20240207-1
texlive-latex-base	2023.20240207-1
texlive-latex-extra	2023.20240207-1
texlive-latex-recommended	2023.20240207-1
texlive-luatex	2023.20240207-1
texlive-pictures	2023.20240207-1
texlive-plain-generic	2023.20240207-1
texlive-science	2023.20240207-1
texlive-xetex	2023.20240207-1
time	1.9-0.2build1
tipa	2:1.3-21
tk	8.6.14build1
tk8.6	8.6.14-1build1
tmux	3.4-1ubuntu0.1
topcom	1.1.2+ds-1.1build2
topcom-examples	1.1.2+ds-1.1build2
tree	2.1.1-2ubuntu3.24.04.2
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
ubuntu-minimal	1.539.2
ubuntu-mono	24.04-0ubuntu1
ubuntu-pro-client	37.2ubuntu~24.04.1
ubuntu-pro-client-l10n	37.2ubuntu~24.04.1
ubuntu-release-upgrader-core	1:24.04.29
ubuntu-wsl	1.539.2
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.17
unattended-upgrades	2.9.1+nmu4ubuntu1
unixodbc-common	2.3.12-1ubuntu0.24.04.1
unixodbc-dev	2.3.12-1ubuntu0.24.04.1
unzip	6.0-28ubuntu4.1
update-manager-core	1:24.04.12
update-motd	3.12
usb.ids	2024.03.18-1
util-linux	2.39.3-9ubuntu6.6
uuid-dev	2.39.3-9ubuntu6.6
uuid-runtime	2.39.3-9ubuntu6.6
vim	2:9.1.0016-1ubuntu7.20
vim-common	2:9.1.0016-1ubuntu7.20
vim-runtime	2:9.1.0016-1ubuntu7.20
vim-tiny	2:9.1.0016-1ubuntu7.20
wget	1.21.4-1ubuntu4.5
whiptail	0.52.24-2ubuntu2
wolframscript	15.0.1+202607021139
wsl-pro-service	0.1.18~24.04.3
wsl-setup	0.5.10~24.04.2
wslu	3.2.3-0ubuntu3
x11-common	1:7.7+23ubuntu3
x11-utils	7.7+6build2
x11-xkb-utils	7.7+8build2
x11-xserver-utils	7.7+10build2
x11proto-dev	2023.2-1
xauth	1:1.1.2-1build1
xaw3dg	1.5+F-1.1build2
xdg-user-dirs	0.18-1build1
xdg-utils	1.1.3-4.1ubuntu3
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-utils	1:7.7+6build3
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xorg-sgml-doctools	1:1.11-1.1
xpdf	3.04+git20240202-1build3
xtrans-dev	1.4.0-1
xxd	2:9.1.0016-1ubuntu7.20
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
zeitgeist	1.0.4-5ubuntu5
zeitgeist-core	1.0.4-5ubuntu5
zeitgeist-datahub	1.0.4-5ubuntu5
zip	3.0-13ubuntu0.2
zlib1g	1:1.3.dfsg-3.1ubuntu2.2
zlib1g-dev	1:1.3.dfsg-3.1ubuntu2.2
zsh	5.9-6ubuntu2
zsh-common	5.9-6ubuntu2
zutty	0.14.8.20231210+dfsg1-1
